,City,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph),Country,Date Time
0,tuktoyaktuk,70.35997966,-129.8122079,12.2,79,40,26.46,CA,1619050005
1,albany,-73.5424279,101.0000289,37,55,79,13.18,US,1619049991
2,beringovskiy,54.44749313,175.5030845,27.9,74,67,4.32,RU,1619050570
3,la asuncion,12.67141871,-64.22542336,76.95,83,1,14.94,VE,1619050571
4,punta arenas,-76.70223679,-111.8752968,41,60,0,6.91,CL,1619050450
5,saint-philippe,-68.61085894,70.88917187,77,78,90,13.8,RE,1619050574
6,mataura,-49.10942539,-143.1406149,55,89,88,1.01,NZ,1619050575
7,mahebourg,-30.03259681,67.86436715,78.8,83,40,3.44,MU,1619050576
8,butaritari,7.828199983,160.6520231,82.31,77,100,14.74,KI,1619050577
9,qaqortoq,61.8634638,-46.02715009,48.2,27,75,31.07,GL,1619050578
10,busselton,-76.83762202,86.35467949,59,86,88,10.27,AU,1619050579
11,alugan,13.12785678,126.4914308,81.19,75,99,7.49,PH,1619050581
12,korla,42.0978299,84.99007862,58.42,29,98,13,CN,1619050582
13,avarua,-74.8606143,-166.4492402,82.4,65,40,16.11,CK,1619050583
14,klaksvik,66.67078989,-3.53060595,41,81,75,9.22,FO,1619050584
15,sabha,26.2213669,16.88764758,76.75,17,100,26.22,LY,1619050585
16,ribeira grande,34.41136597,-37.59187719,64.42,90,100,38.03,PT,1619050587
17,jalu,30.05223821,21.88019195,66.94,26,33,12.77,LY,1619050588
18,puerto ayora,-8.588411428,-100.5016332,77,94,65,4,EC,1619050589
19,tomatlan,18.95786948,-107.6840713,85.41,36,27,8.7,MX,1619050590
20,khatanga,75.85888933,96.28648046,18.43,94,100,18.84,RU,1619050591
22,touros,-2.92152619,-34.97338896,80.6,83,40,6.91,BR,1619050594
23,sitka,54.88326278,-137.6898737,55.4,35,20,9.22,US,1619050595
24,kushima,30.87842662,131.6725484,68,52,20,3.44,JP,1619050596
25,hilo,16.34189095,-145.5206592,84.2,48,75,12.66,US,1619050532
26,yelan,51.0118449,43.91586754,45.16,88,33,5.53,RU,1619050598
27,codrington,25.80699002,-50.86141519,56.17,73,99,11.68,AU,1619050600
28,tura,68.0453139,99.42281622,70.61,71,95,2.59,IN,1619050601
30,bredasdorp,-59.62766141,22.76122031,62.6,94,99,8.05,ZA,1619050603
31,bilibino,74.35258292,164.8094576,27.5,68,34,2.73,RU,1619050604
33,georgetown,-4.929610625,-13.22264555,82.4,89,40,1.14,MY,1619050604
34,kalianget,-5.767305125,116.0867975,79.88,71,80,5.32,ID,1619050608
35,rassvet,46.81098872,41.14352468,49.89,78,66,2.08,RU,1619050609
36,kodiak,41.18992185,-149.9616042,42.8,87,90,19.57,US,1619050610
37,wuchang,44.94000806,127.2402753,64.69,25,100,8.95,CN,1619050611
38,nanzhang,31.67993662,111.6335968,58.32,89,88,3.76,CN,1619050612
39,muros,42.11856387,-17.25524665,55.99,93,98,5.66,ES,1619050614
41,rocha,-42.23480446,-48.76512766,64.63,74,5,14.25,UY,1619050616
43,hobart,-85.502529,134.1152079,57.2,47,75,20.71,AU,1619050400
44,meulaboh,-3.058292433,89.26092827,76.75,88,97,3.11,ID,1619050619
45,bambous virieux,-35.88919087,81.6096974,78.8,83,40,3.44,MU,1619050620
46,sharkan,57.57289417,54.16193309,39,88,100,4,RU,1619050621
47,rikitea,-47.60275209,-118.1584514,77.36,74,37,11.83,PF,1619050623
48,beian,48.21963511,127.1183615,35.6,87,75,13.8,NO,1619050624
49,castro,-48.48524708,-86.54121354,54.79,98,70,5.39,BR,1619050625
50,shimoda,26.69026769,142.0959514,72,39,0,10.36,JP,1619050626
51,fort nelson,60.44480741,-122.1440243,32,43,75,8.05,CA,1619050627
52,nikolskoye,41.15894712,174.8252434,35.6,87,75,4.47,RU,1619050629
53,merrill,46.06557501,-90.55801284,37.4,44,90,4.61,US,1619050630
54,jamestown,-27.83018671,-0.687296802,32,80,90,17.27,US,1619050610
55,new norfolk,-78.29402778,126.6269608,57,61,89,7,AU,1619050632
56,kruisfontein,-81.3619495,28.94534336,63,96,99,2.53,ZA,1619050633
57,bandarbeyla,7.968207995,57.04664666,81.23,80,31,4.27,SO,1619050634
58,vila franca do campo,30.23121996,-25.85934276,64.4,94,75,19.57,PT,1619050636
59,bubaque,3.655551589,-22.57578252,78.26,69,100,15.97,GW,1619050637
60,atuona,0.051406457,-146.7473013,80.74,71,6,20.09,PF,1619050638
61,port alfred,-67.29041776,44.95105714,69.1,85,83,9.53,ZA,1619050639
