,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,rikitea,-40.891140982319456,-133.30607391449325,298.76,72,4,4.15
1,punta arenas,-76.0462356390312,-112.17141376342249,279.98,65,0,10.29
2,nemuro,33.4159217529145,154.04423338154936,289.15,39,0,6.17
3,provideniya,58.78282803881865,-172.01002759612388,273.15,59,0,8
4,elizabeth city,35.213840236390695,-75.40943937853633,283.62,87,20,3.6
5,lolua,-6.830909401671363,170.8963243794625,NaN,NaN,NaN,NaN
6,richards bay,-30.742172733654215,33.54245716993566,295.21,78,96,8.83
7,waghai,20.870548149143985,73.58315132957748,298.34,68,95,1.62
8,kodiak,58.80340211933802,-152.20669889646496,279.15,87,90,10.29
9,puerto ayora,-7.67793689588683,-111.23453770064894,297.04,98,30,2.13
10,katsuura,20.033077357877985,150.49018127266908,290.6,55,20,3.6
11,ushuaia,-67.72359378798576,-75.29025764000936,279.15,81,40,3.09
12,butaritari,2.9960592541664113,172.69418030403074,301.58,75,100,5.14
13,predivinsk,56.94103625485661,93.83313266672025,263.91,76,100,4.83
14,joshimath,30.515676210564834,79.66846081275366,282.85,29,98,4.11
15,alta floresta,-7.526567519257952,-55.48836143640037,294.58,96,20,1.01
16,kruisfontein,-40.0908657225431,25.40706091345129,288.71,84,100,1.34
17,pacific grove,32.044759674437344,-128.86901183681132,286.43,63,40,4.12
18,lebu,-28.43557566825166,-91.89564104665602,287.64,95,100,4.62
19,lemesos,33.392432358284125,33.13891959285772,NaN,NaN,NaN,NaN
20,taseyevo,57.5324158443492,94.29033609160729,264.29,76,100,5.45
21,acari,-16.198147623543292,-74.8693320280387,295.07,82,18,1.8
22,vaini,-44.42187949571674,-172.76859300575745,302.15,70,75,5.14
23,ilulissat,79.83381446517606,-45.85480550851648,260.15,61,95,2.57
24,ribeira grande,38.65268201806296,-32.23162197068518,290.13,92,100,8.67
25,manzhouli,47.79595125573414,117.44512816606334,280.64,21,84,8.25
26,axim,2.874173251060725,-3.2904044119689217,299.89,83,100,2.04
27,carnarvon,-23.358416829847243,106.19131964160135,297.61,45,0,9.65
28,saint-philippe,-60.569278493591106,73.99415127855286,294.46,88,90,1.03
29,poum,-20.190491384877745,162.76491891110334,299.38,80,9,7.88
30,raudeberg,63.370327869033105,3.4172597732666077,284.15,54,90,5.66
31,illoqqortoormiut,79.31923564703268,-26.620144602883954,NaN,NaN,NaN,NaN
32,port alfred,-84.64378371499828,39.32988245760137,291.31,72,100,5.96
33,port elizabeth,-62.78249958567204,28.132341724711893,290.15,72,90,6.17
34,general salgado,-20.732616360926286,-50.32519296028775,293.15,60,0,3.77
35,zyryanka,64.33785980661477,150.79899714679328,273.86,97,100,4.51
36,dingle,54.7881125516808,-15.913029720933878,302.43,66,100,4.28
37,la oroya,-11.617706015417141,-75.85860381374448,279.96,91,57,1.93
38,taolanaro,-79.06194267757368,60.78558020827825,NaN,NaN,NaN,NaN
39,douentza,15.40957529637177,-3.551250580441547,302.83,15,0,2.65
40,kathu,7.888668797340401,98.18454481013441,300.45,94,75,1.03
41,manokwari,-0.08049748456541295,133.47712533582938,299.57,76,100,1.43
42,maridi,4.932482816312927,29.779075418632743,295.04,68,100,2.03
43,hithadhoo,-13.798380793159112,75.69575789892596,301.2,64,100,2.01
44,busselton,-48.10707030499402,100.2700783508476,286.78,95,89,0.45
45,beyneu,46.50060933954447,56.643321385411866,287.77,64,100,3.75
46,tasiilaq,79.81539156000147,-35.32446075460351,270.15,63,79,4.63
47,gamba,-5.188544313918058,5.321811452504079,297.1,92,100,4.13
48,atuona,8.90852008395575,-133.66740584871093,300.22,72,14,8.29
49,saint-augustin,55.84377630893451,-58.52862003925567,277.46,80,97,7.54
50,tiksi,74.63459249615525,132.33017176386358,257.79,96,94,1.42
51,hilo,21.79158070328637,-142.51847988648905,297.62,57,20,10.29
52,nyrob,61.85816045576291,57.23334653453048,269.48,84,98,1.17
53,mys shmidta,69.28152818375119,-177.908646714161,NaN,NaN,NaN,NaN
54,pocone,-15.875606189537109,-57.072366301419066,298.24,71,99,0.69
55,belushya guba,70.84078958702528,50.94231938182773,NaN,NaN,NaN,NaN
56,cabo san lucas,5.205873436066682,-118.54312300408958,296.67,73,75,3.09
57,deputatskiy,70.57994212082565,141.5895875131411,263.63,89,100,1.68
58,barentsburg,87.00949795459977,7.196005442055736,NaN,NaN,NaN,NaN
59,avarua,-40.396223561580044,-159.57975376200483,301.15,69,40,4.12
60,mataura,-52.21624888235751,-145.88484795532662,292.04,58,0,2.68
61,souillac,-63.654285725904955,77.75049082513465,299.15,89,75,3.09
62,novyye burasy,52.37904817791792,46.01114408228193,276.81,73,100,3.58
63,hobart,-68.45356912472887,142.8983265441422,282.81,76,75,5.14
64,parsabad,39.81165775152266,47.57354634442228,289.15,82,0,4.12
